# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\gusta\Documents\MEGA\EngdeComputacao\Logica_Rec\Exercicios LR\Exercicio_1\ex2\ex2.csv
# Generated on: Thu Aug 23 09:27:15 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
a_in,Input,PIN_J6,1,B1_N0,PIN_J6,,,,,
and_out,Output,PIN_J1,1,B1_N1,PIN_J1,,,,,
b_in,Input,PIN_H5,1,B1_N0,PIN_H5,,,,,
buffer_out,Output,PIN_J3,1,B1_N1,PIN_J3,,,,,
c_in,Input,PIN_H6,1,B1_N0,PIN_H6,,,,,
nand_out,Output,PIN_H1,1,B1_N1,PIN_H1,,,,,
nor_out,Output,PIN_F2,1,B1_N0,PIN_F2,,,,,
not_out,Output,PIN_E1,1,B1_N0,PIN_E1,,,,,
or_out,Output,PIN_C1,1,B1_N0,PIN_C1,,,,,
xnor_out,Output,PIN_C2,1,B1_N0,PIN_C2,,,,,
xor_out,Output,PIN_B2,1,B1_N0,PIN_B2,,,,,
