# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\gusta\Documents\MEGA\EngdeComputacao\Logica_Rec\Exercicios LR\Exercicio_2\ex2\chave2ssd\chave2ssd.csv
# Generated on: Wed Aug 29 18:48:32 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
seg_out[6],Output,PIN_E11,7,B7_N1,PIN_E11,,,,,
seg_out[5],Output,PIN_F11,7,B7_N1,PIN_F11,,,,,
seg_out[4],Output,PIN_H12,7,B7_N1,PIN_G12,,,,,
seg_out[3],Output,PIN_H13,7,B7_N1,PIN_H13,,,,,
seg_out[2],Output,PIN_G12,7,B7_N1,PIN_H12,,,,,
seg_out[1],Output,PIN_F12,7,B7_N1,PIN_F12,,,,,
seg_out[0],Output,PIN_F13,7,B7_N1,PIN_F13,,,,,
sw0,Input,PIN_J6,1,B1_N0,PIN_J6,,,,,
sw1,Input,PIN_H5,1,B1_N0,PIN_H5,,,,,
sw2,Input,PIN_H6,1,B1_N0,PIN_H6,,,,,
sw3,Input,PIN_G4,1,B1_N0,PIN_G4,,,,,
sw4,Input,PIN_G5,1,B1_N0,PIN_G5,,,,,
sw5,Input,PIN_J7,1,B1_N1,PIN_J7,,,,,
sw6,Input,PIN_H7,1,B1_N0,PIN_H7,,,,,
sw7,Input,PIN_E3,1,B1_N0,PIN_E3,,,,,
sw8,Input,PIN_E4,1,B1_N0,PIN_E4,,,,,
