# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\gusta\Documents\MEGA\EngdeComputacao\Logica_Rec\Exercicios LR\Exercicio_4\ex3\ex3.csv
# Generated on: Sat Sep 15 12:45:00 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
botoes[2],Input,PIN_H2,1,B1_N1,,,,,
botoes[1],Input,PIN_G3,1,B1_N0,,,,,
botoes[0],Input,PIN_F1,1,B1_N0,,,,,
chaves[9],Input,PIN_J6,1,B1_N0,,,,,
chaves[8],Input,PIN_H5,1,B1_N0,,,,,
chaves[7],Input,PIN_H6,1,B1_N0,,,,,
chaves[6],Input,PIN_G4,1,B1_N0,,,,,
chaves[5],Input,PIN_G5,1,B1_N0,,,,,
chaves[4],Input,PIN_J7,1,B1_N1,,,,,
chaves[3],Input,PIN_H7,1,B1_N0,,,,,
chaves[2],Input,PIN_E3,1,B1_N0,,,,,
chaves[1],Input,PIN_E4,1,B1_N0,,,,,
chaves[0],Input,PIN_D2,1,B1_N0,,,,,
leds[7],Output,PIN_C2,1,B1_N0,,,,,
leds[6],Output,PIN_C1,1,B1_N0,,,,,
leds[5],Output,PIN_E1,1,B1_N0,,,,,
leds[4],Output,PIN_F2,1,B1_N0,,,,,
leds[3],Output,PIN_H1,1,B1_N1,,,,,
leds[2],Output,PIN_J3,1,B1_N1,,,,,
leds[1],Output,PIN_J2,1,B1_N1,,,,,
leds[0],Output,PIN_J1,1,B1_N1,,,,,
o_ssds[13],Output,PIN_A13,7,B7_N1,,,,,
o_ssds[12],Output,PIN_B13,7,B7_N1,,,,,
o_ssds[11],Output,PIN_C13,7,B7_N1,,,,,
o_ssds[10],Output,PIN_A14,7,B7_N1,,,,,
o_ssds[9],Output,PIN_B14,7,B7_N1,,,,,
o_ssds[8],Output,PIN_E14,7,B7_N1,,,,,
o_ssds[7],Output,PIN_A15,7,B7_N1,,,,,
o_ssds[6],Output,PIN_E11,7,B7_N1,,,,,
o_ssds[5],Output,PIN_F11,7,B7_N1,,,,,
o_ssds[4],Output,PIN_H12,7,B7_N1,,,,,
o_ssds[3],Output,PIN_H13,7,B7_N1,,,,,
o_ssds[2],Output,PIN_G12,7,B7_N1,,,,,
o_ssds[1],Output,PIN_F12,7,B7_N1,,,,,
o_ssds[0],Output,PIN_F13,7,B7_N1,,,,,
leds[9],Unknown,PIN_B1,1,B1_N0,,,,,
leds[8],Unknown,PIN_B2,1,B1_N0,,,,,
ssd_dezena[6],Unknown,,,,,,,,
ssd_dezena[5],Unknown,,,,,,,,
ssd_dezena[4],Unknown,,,,,,,,
ssd_dezena[3],Unknown,,,,,,,,
ssd_dezena[2],Unknown,,,,,,,,
ssd_dezena[1],Unknown,,,,,,,,
ssd_dezena[0],Unknown,,,,,,,,
ssd_unidade[6],Unknown,,,,,,,,
ssd_unidade[5],Unknown,,,,,,,,
ssd_unidade[4],Unknown,,,,,,,,
ssd_unidade[3],Unknown,,,,,,,,
ssd_unidade[2],Unknown,,,,,,,,
ssd_unidade[1],Unknown,,,,,,,,
ssd_unidade[0],Unknown,,,,,,,,
