# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Andreas\Dropbox\UTFPR\2018-2\Lógica Reconfigurável\logica-reconfiguravel\Exercício_11\ex02\ex02.csv
# Generated on: Wed Nov 14 03:03:56 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
b1,Input,PIN_H2,1,B1_N1,PIN_H2,,,,,
b2,Input,PIN_G3,1,B1_N0,PIN_G3,,,,,
clk,Input,PIN_G21,6,B6_N1,PIN_G21,,,,,
g1,Output,PIN_J1,1,B1_N1,PIN_J1,,,,,
g2,Output,PIN_C2,1,B1_N0,PIN_C2,,,,,
lr,Output,PIN_F2,1,B1_N0,PIN_F2,,,,,
r1,Output,PIN_J3,1,B1_N1,PIN_B1,,,,,
r2,Output,PIN_B1,1,B1_N0,PIN_J3,,,,,
rst,Input,PIN_F1,1,B1_N0,PIN_F1,,,,,
y1,Output,PIN_J2,1,B1_N1,PIN_J2,,,,,
y2,Output,PIN_B2,1,B1_N0,PIN_B2,,,,,
